edgedef>source VARCHAR,target VARCHAR, weight DOUBLE
0,1,12
0,2,14
0,3,8
0,4,18
0,6,10
0,5,10
0,7,10
0,9,12
0,10,12
0,12,16
0,14,14
0,8,12
0,15,14
0,11,6
0,13,6
0,16,10
0,19,16
0,17,12
0,20,10
0,18,10
0,21,16
0,22,18
0,25,10
0,23,12
0,26,10
0,24,14
0,29,12
0,30,8
0,27,12
0,28,14
0,31,12
0,32,10
0,33,16
0,34,16
0,35,12
0,36,12
0,37,10
0,38,10
0,39,12
0,40,10
0,42,12
0,41,12
0,43,10
0,44,14
0,45,10
0,46,12
0,47,6
0,48,8
0,49,16
0,50,10
0,51,8
0,52,14
0,53,16
0,54,14
0,55,14
0,56,12
0,57,12
0,58,12
0,59,18
0,60,12
0,64,14
0,62,14
0,65,16
0,61,14
0,63,12
0,66,14
0,68,12
0,67,14
0,70,12
0,69,14
0,71,6
0,72,12
0,76,6
0,73,10
0,77,10
0,74,12
0,78,14
0,81,12
0,75,8
0,79,12
0,83,12
0,82,12
0,80,12
0,84,14
0,85,14
0,89,10
0,86,14
0,87,14
0,90,12
0,91,12
0,92,18
0,88,12
0,95,14
0,96,12
0,93,12
0,94,12
0,97,12
1,2,12
0,99,14
0,98,14
1,3,10
1,4,14
1,5,10
1,6,8
1,7,12
1,10,12
1,11,12
1,9,10
1,12,8
1,8,12
1,13,8
1,14,12
1,15,10
1,16,12
1,17,10
1,18,10
1,21,12
1,23,12
1,19,12
1,20,10
1,24,14
1,25,12
1,22,16
1,26,10
1,27,14
1,28,12
1,29,12
1,30,8
1,31,12
1,33,10
1,32,10
1,34,10
1,35,12
1,36,14
1,37,8
1,41,10
1,38,10
1,39,10
1,42,14
1,44,12
1,43,10
1,40,12
1,45,8
1,46,10
1,49,12
1,50,8
1,47,12
1,48,8
1,52,14
1,53,12
1,55,10
1,54,16
1,51,12
1,58,12
1,56,16
1,59,12
1,61,12
1,62,12
1,60,10
1,57,12
1,63,12
1,64,14
1,65,12
1,66,10
1,67,12
1,68,16
1,69,12
1,70,10
1,74,8
1,71,8
1,75,10
1,76,6
1,72,10
1,77,10
1,73,8
1,78,14
1,79,10
1,81,10
1,82,12
1,83,14
1,85,10
1,84,10
1,80,12
1,87,14
1,86,16
1,88,14
1,89,12
1,90,10
1,91,10
1,94,12
1,92,14
1,95,8
1,96,10
1,97,8
1,93,10
1,98,12
2,5,14
2,3,12
1,99,16
2,6,10
2,10,12
2,9,14
2,11,6
2,4,12
2,7,10
2,14,16
2,8,14
2,12,8
2,13,8
2,15,12
2,16,8
