index,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,07m8PuXxxv5J4qPEDq6ZkK,Ben Rector,"Brand New",0.555,0.934,9,-5.04,1,0.113,0.00268,0,0.122,0.422,144.874,243933,4
1,3dEFa9KjOLEZl980ctEEv1,Florence + The Machine,"Ship To Wreck",0.564,0.923,9,-3.843,0,0.0325,0.00147,0,0.277,0.587,141.991,234526,4
2,30Ws4fQbAhaKWTS0hr0wJt,Drew Holcomb & The Neighbors,"Dance With Everybody",0.678,0.889,5,-5.172,1,0.0577,0.252,0.0000707,0.211,0.883,125.983,210667,4
3,14PGuHlKGSYWFEVOWw40Va,The National Parks,"I Can Feel It",0.64,0.869,0,-5.853,1,0.0612,0.00943,0.0129,0.0986,0.509,108.043,168479,4
4,1GgoypuXSxpTKOxEYiZ3JJ,Ben Rector,"Drive",0.567,0.862,2,-4.073,1,0.0384,0.0131,0,0.0608,0.61,126.066,197387,4
5,4BEI01RMjIuA2geFPZIVHS,The Paper Kites,"On the Corner Where You Live",0.512,0.854,5,-5.887,1,0.0456,0.00337,0.44,0.481,0.592,151.057,276480,4
6,7zWYskRENVPyJUh8FLzuoT,Orla Gartland,"Flatline",0.755,0.852,2,-5.666,1,0.0388,0.023,0.00176,0.0475,0.919,123.969,201204,4
7,1mkwI947OIcgdzBvRjRPPx,Passenger,"27",0.54,0.851,2,-6.765,1,0.0693,0.0165,0,0.0882,0.696,89.47,200320,4
8,2msdr19RehOAL1RTTRwfCg,Rubber Duc,"Wellington",0.617,0.85,4,-4.643,1,0.0512,0.0358,0,0.273,0.442,120.022,211123,4
9,0YPWqS1QVVB0LQ5h3gxbBH,The National Parks,"Lights in the City",0.519,0.847,11,-5.526,1,0.0505,0.0194,0.0000396,0.296,0.445,135.05,207500,4
10,7Cy46glHTiYmExbOMhLb5K,Ben Rector,"Joy",0.714,0.841,8,-7.826,0,0.0583,0.347,0.00000725,0.357,0.933,146.04,283400,4
11,50YBK8OKWYxD4eBNRwT7Qz,BANNERS,"Happier",0.693,0.841,10,-7.523,1,0.0683,0.618,0,0.1,0.69,120.061,180500,4
12,0tgBtQ0ISnMQOKorrN9HLX,John Mayer,"Last Train Home",0.591,0.831,4,-6.612,1,0.0355,0.235,0.00142,0.0571,0.678,93.007,187307,4
13,2smpiAZfaN0GFi15MqAq6E,Dean Lewis,"Stay Awake",0.723,0.83,11,-7.123,0,0.0454,0.334,0.0000423,0.0931,0.582,106.027,185400,4
14,7vh8aA3VMof7m2JR8hX8Nm,The Paper Kites,"Deep Burn Blue",0.556,0.811,9,-5.974,0,0.0337,0.326,0.628,0.13,0.15,110.012,279480,4
15,1DQzw4dCdY5iGnOPNHEoPz,ISLAND,"She",0.505,0.81,6,-5.759,1,0.0317,0.0026,0.0522,0.084,0.244,93.462,242550,4
16,6dux5viG3Ku3IefPx3gFNT,Florence + The Machine,"Dog Days Are Over",0.501,0.809,7,-5.264,1,0.0938,0.0338,0.00602,0.119,0.258,149.964,252819,4
17,4YeUVRpVxaDx6zu6CtB01j,Ben Rector,"When I'm With You",0.434,0.805,2,-6.211,1,0.0315,0.00117,0.00000317,0.176,0.32,158.139,226133,3
18,05tKse2mbMxPPDqJDPunMD,Timeflies,"Raincoat - Loote Remix",0.734,0.804,10,-7.946,1,0.0811,0.264,0,0.0555,0.746,165.995,201687,4
19,1XZeBXHGMqYVvVqeBe2QoS,ISLAND,"All in My Head",0.391,0.803,9,-5.16,0,0.0452,0.026,0.0407,0.335,0.166,139.723,264850,4
20,5gza85soOXdZTE2TMfqDWM,ISLAND,"Ride",0.527,0.802,4,-6.705,1,0.0299,0.0106,0.00181,0.0859,0.706,104.519,233960,4
21,2K28PAjVBhB6jOUVyj7PLT,The Paper Kites,"When It Hurts You",0.578,0.797,2,-4.854,1,0.0305,0.332,0.0456,0.274,0.406,100.995,293360,4
22,5nsFJfYtAFZmL9PbtYKYcA,Stephen Sanchez,"See The Light",0.728,0.796,4,-5.33,1,0.0461,0.162,0.00000928,0.196,0.691,117.925,180147,4
23,2clElTsD1qOztIwI9CuJvu,Matthew Mole,"Okay",0.592,0.793,0,-7.884,1,0.056,0.0211,0,0.178,0.646,83.04,193825,4
24,2BVxCW4Yry9SaMVETrybRR,ISLAND,"God Forgive",0.434,0.789,2,-5.275,1,0.0421,0.0928,0.00368,0.117,0.371,119.097,278360,4
25,2wcRuegxLUW1IznkfPHTBc,Jordy Searcy,"Everything I Want",0.685,0.788,8,-5.144,1,0.052,0.268,0.0000378,0.0507,0.921,115.146,191413,4
26,35RrDnREM1xxx4YBxDHikm,Ben Rector,"I Will Always Be Yours",0.444,0.771,0,-4.607,1,0.0485,0.13,0,0.273,0.45,148.028,226827,4
27,3PWlwy0DdP4vIhzp0RrrOh,BANNERS,"I Wasn't Ready",0.617,0.764,2,-6.98,1,0.116,0.0329,0,0.14,0.771,146.895,183902,4
28,0hNOP5epEjX8Zj5aSGr6JU,Dean Lewis,"Waves",0.517,0.762,11,-5.806,0,0.0454,0.161,0,0.0897,0.351,156.928,241292,4
29,5pjETtb5hpSStfFlAAU0J7,Ben Rector,"Kids",0.584,0.76,11,-6.494,1,0.0386,0.0496,0.00000679,0.126,0.176,101.574,257493,4
30,0z3cJsLM4vvmdZJ8lulR5t,ISLAND,"Something Perfect",0.554,0.759,11,-6.331,0,0.0339,0.000828,0.00648,0.0775,0.321,115.028,190240,4
31,0CKPLoYW0nsAnjnr00HRWV,Billy Raffoul,"I'm Not A Saint",0.748,0.758,10,-5.82,0,0.0726,0.0961,0.000161,0.212,0.672,127.979,195166,4
32,0qDG9MjRZISlT31enV6xOA,Ben Rector,"Let the Good Times Roll",0.644,0.757,0,-4.773,1,0.0367,0.166,0,0.943,0.501,112.056,189360,4
33,5imShWWzwqfAJ9gXFpGAQh,John Mayer,"Waiting On the World to Change",0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,201173,4
34,5KxcMQlpKTEIkLEGE5nset,Charlie Finch,"No Escape",0.575,0.753,4,-6.846,0,0.0492,0.00361,0,0.3,0.435,75.975,212798,4
35,0yGODiR387R0pcOPkU1Tt3,ISLAND,"Young Days",0.513,0.747,4,-5.152,0,0.0272,0.0141,0.0000046,0.22,0.408,139.811,211627,4
36,600oiqLkQIJ85HvQGIQWvO,The Script,"The Last Time",0.521,0.746,5,-3.421,1,0.0349,0.0486,0,0.236,0.15,132.014,196107,4
37,15JVqbFEDFosNfeWOaVo88,The National Parks,"Places",0.526,0.743,2,-5.122,1,0.0435,0.122,0.0000108,0.0566,0.288,127.944,195924,4
38,6K0b2FYLwAbq90OgmrMvdg,Matthew Mole,"Let Me",0.584,0.741,2,-7.695,1,0.0459,0.26,0.0000394,0.051,0.961,177.465,229562,3
39,4ztgjcOsR0HGsm1vkzh0Ky,Ben Rector,"Sunday (feat. Snoop Dogg)",0.744,0.739,2,-5.456,1,0.0482,0.334,0.0000253,0.0617,0.973,150.014,202093,4
40,2BkyYZmU4JuWW2sYi9EzpC,Dean Lewis,"7 Minutes",0.614,0.739,10,-6.478,1,0.0314,0.526,0,0.149,0.711,104.955,211453,4
41,1ApB2QRPQi3MlBUFeegVUr,Andreas Moe,"Something Right",0.731,0.738,2,-5.675,1,0.0634,0.28,0,0.711,0.598,95.02,243583,4
42,4BdGO1CaObRD4La9l5Zanz,Foster The People,"Sit Next to Me",0.638,0.738,6,-4.976,0,0.0292,0.117,0.000384,0.689,0.657,97.021,243147,4
43,75yHLmXyBRvPa1e8czGlxu,Ben Rector,"Supernatural (feat. Dave Koz)",0.68,0.735,9,-7.107,0,0.0456,0.00291,0.00861,0.118,0.685,111.026,267267,4
44,0R7EWhquaAICmyE5MZqt3q,Ben Rector,"Living My Best Life",0.566,0.733,4,-5.302,1,0.0699,0.083,0.00000155,0.362,0.636,178.828,215213,4
